W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 165,451/50,000,000 (0.3%) | FPS cur=53 roll=47 | ETA 297.2h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 167,059/50,000,000 (0.3%) | FPS cur=53 roll=47 | ETA 296.9h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 168,659/50,000,000 (0.3%) | FPS cur=53 roll=47 | ETA 296.5h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 170,296/50,000,000 (0.3%) | FPS cur=54 roll=47 | ETA 296.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 171,746/50,000,000 (0.3%) | FPS cur=48 roll=47 | ETA 296.0h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 173,150/50,000,000 (0.3%) | FPS cur=46 roll=47 | ETA 296.0h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 174,753/50,000,000 (0.3%) | FPS cur=53 roll=47 | ETA 295.7h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 176,369/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 295.4h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 177,951/50,000,000 (0.4%) | FPS cur=52 roll=47 | ETA 295.1h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 179,520/50,000,000 (0.4%) | FPS cur=52 roll=47 | ETA 294.8h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 181,082/50,000,000 (0.4%) | FPS cur=52 roll=47 | ETA 294.6h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 182,675/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 294.3h | NaN=0 respawns=0 | disk 0.3GB used, 41.1GB free
[monitor] 184,260/50,000,000 (0.4%) | FPS cur=52 roll=47 | ETA 294.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 185,886/50,000,000 (0.4%) | FPS cur=54 roll=47 | ETA 293.7h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 187,434/50,000,000 (0.4%) | FPS cur=51 roll=47 | ETA 293.5h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 189,066/50,000,000 (0.4%) | FPS cur=54 roll=47 | ETA 293.2h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 190,683/50,000,000 (0.4%) | FPS cur=54 roll=47 | ETA 292.9h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 192,300/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 292.6h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 193,948/50,000,000 (0.4%) | FPS cur=55 roll=47 | ETA 292.2h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 195,555/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 292.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 197,157/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 291.7h | NaN=0 respawns=0 | disk 0.4GB used, 41.1GB free
[monitor] 198,758/50,000,000 (0.4%) | FPS cur=53 roll=47 | ETA 291.4h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 200,426/50,000,000 (0.4%) | FPS cur=55 roll=48 | ETA 291.1h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 202,038/50,000,000 (0.4%) | FPS cur=53 roll=48 | ETA 290.8h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 203,671/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 290.6h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
