W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/surrogate-data-collection/runs/i2g89uny
[monitor] 234,500/1,000,000 (23.4%) | FPS cur=50 roll=55 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 238,000/1,000,000 (23.8%) | FPS cur=117 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 239,000/1,000,000 (23.9%) | FPS cur=33 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 240,000/1,000,000 (24.0%) | FPS cur=33 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 242,000/1,000,000 (24.2%) | FPS cur=67 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 243,500/1,000,000 (24.3%) | FPS cur=50 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 245,000/1,000,000 (24.5%) | FPS cur=50 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 247,000/1,000,000 (24.7%) | FPS cur=67 roll=56 | ETA 3.8h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 249,000/1,000,000 (24.9%) | FPS cur=67 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 250,500/1,000,000 (25.1%) | FPS cur=50 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 253,000/1,000,000 (25.3%) | FPS cur=83 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 253,500/1,000,000 (25.4%) | FPS cur=17 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 255,500/1,000,000 (25.6%) | FPS cur=67 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 257,000/1,000,000 (25.7%) | FPS cur=50 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 259,000/1,000,000 (25.9%) | FPS cur=67 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 261,500/1,000,000 (26.2%) | FPS cur=83 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 262,500/1,000,000 (26.2%) | FPS cur=33 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 264,500/1,000,000 (26.5%) | FPS cur=67 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 266,000/1,000,000 (26.6%) | FPS cur=50 roll=56 | ETA 3.7h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 268,000/1,000,000 (26.8%) | FPS cur=67 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 269,500/1,000,000 (27.0%) | FPS cur=50 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 271,500/1,000,000 (27.2%) | FPS cur=67 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 273,000/1,000,000 (27.3%) | FPS cur=50 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 275,500/1,000,000 (27.6%) | FPS cur=83 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 277,000/1,000,000 (27.7%) | FPS cur=50 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 278,000/1,000,000 (27.8%) | FPS cur=33 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 279,500/1,000,000 (28.0%) | FPS cur=50 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 282,000/1,000,000 (28.2%) | FPS cur=83 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 284,500/1,000,000 (28.4%) | FPS cur=83 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 285,000/1,000,000 (28.5%) | FPS cur=17 roll=56 | ETA 3.6h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 287,000/1,000,000 (28.7%) | FPS cur=67 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 288,500/1,000,000 (28.8%) | FPS cur=50 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 291,000/1,000,000 (29.1%) | FPS cur=83 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 293,500/1,000,000 (29.3%) | FPS cur=83 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 294,500/1,000,000 (29.4%) | FPS cur=33 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 295,500/1,000,000 (29.5%) | FPS cur=33 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
[monitor] 298,000/1,000,000 (29.8%) | FPS cur=83 roll=56 | ETA 3.5h | NaN=0 respawns=1 | disk 0.0GB used, 44.6GB free
